rank,corpus_lemma,count,per_million,source_id
1,а-ҳәа-ра́,117335,10881.6,SRC-010
2,уи́,104204,9663.9,SRC-010
3,а́-ҟа-заа-ра,98276,9114.1,SRC-010
4,а́кә-заа-ра,91829,8516.2,SRC-010
5,ҳәа́,85254,7906.5,SRC-010
6,а-ба-ра́,71249,6607.6,SRC-010
7,аха́,70571,6544.8,SRC-010
8,а́-ма-заа-ра,69128,6410.9,SRC-010
9,сара́,57428,5325.9,SRC-010
10,иара́,53438,4955.8,SRC-010
11,зегьы́,49955,4632.8,SRC-010
12,а-хы́,49037,4547.7,SRC-010
13,а-гәы́,48733,4519.5,SRC-010
14,а-ца-ра́,48593,4506.5,SRC-010
15,а-ды́р-ра,44885,4162.6,SRC-010
16,а́-ҟа·ла-ра,40881,3791.3,SRC-010
17,а́-ҟа·ҵа-ра,40317,3739.0,SRC-010
18,а-уаҩы́,37650,3491.7,SRC-010
19,а́иҧш,37571,3484.3,SRC-010
20,а-ҿы́,36721,3405.5,SRC-010
21,а́-ла,36586,3393.0,SRC-010
22,а́·ҳәа-ра,35097,3254.9,SRC-010
23,а-га-ра́,34561,3205.2,SRC-010
24,а-ҭах-ра́,34207,3172.4,SRC-010
25,у́рҭ,33786,3133.3,SRC-010
26,а-зы́,31059,2880.4,SRC-010
27,а́-ҭа-ра,30742,2851.0,SRC-010
28,а-у-ра́,30407,2819.9,SRC-010
29,уара́,29909,2773.8,SRC-010
30,акы́,29235,2711.3,SRC-010
31,нас,28316,2626.0,SRC-010
32,ус,28284,2623.1,SRC-010
33,ари́,28169,2612.4,SRC-010
34,аа-ра́,27486,2549.1,SRC-010
35,а-у́с,26790,2484.5,SRC-010
36,а-не́и-ра,26233,2432.8,SRC-010
37,аа́и-ра,24821,2301.9,SRC-010
38,а-напы́,24336,2256.9,SRC-010
39,а́-ла·га-ра,23323,2163.0,SRC-010
40,Аҧсны́,23171,2148.9,SRC-010
41,абри́,21848,2026.2,SRC-010
42,а́б,21835,2025.0,SRC-010
43,ҳара́,21363,1981.2,SRC-010
44,а-хәыҷы́,20950,1942.9,SRC-010
45,аӡәы́,20427,1894.4,SRC-010
46,а́хь,20383,1890.3,SRC-010
47,убри́,20193,1872.7,SRC-010
48,а́амҭа,19591,1816.9,SRC-010
49,а-к-ра́,19534,1811.6,SRC-010
50,а́жәа,19137,1774.8,SRC-010
51,аҳа-ра́,19093,1770.7,SRC-010
52,а-ҩны́,18970,1759.3,SRC-010
53,а-ҧсы́,18852,1748.3,SRC-010
54,а-ду́,18799,1743.4,SRC-010
55,а-р:у-ра́,18666,1731.1,SRC-010
56,а́-мҩа,18628,1727.6,SRC-010
57,а-ла́,18622,1727.0,SRC-010
58,а́-жәлар,18077,1676.5,SRC-010
59,а-ҩы́за,17953,1665.0,SRC-010
60,а-бжьы́,17662,1638.0,SRC-010
61,а́ҧсуа,17639,1635.8,SRC-010
62,а́н,17170,1592.3,SRC-010
63,а́-шьҭахь,16887,1566.1,SRC-010
64,а-ҭа́-заа-ра,16755,1553.9,SRC-010
65,а́у-ра,16715,1550.1,SRC-010
66,аа́·га-ра,16493,1529.6,SRC-010
67,а-ҿы́-заа-ра,16311,1512.7,SRC-010
68,уажәы́,16245,1506.6,SRC-010
69,а-ҧҳәы́с,16104,1493.5,SRC-010
70,лара́,16006,1484.4,SRC-010
71,аа·га-ра́,15985,1482.4,SRC-010
72,а-гы́ла-заа-ра,15777,1463.2,SRC-010
73,а́ил·каа-ра,14416,1336.9,SRC-010
74,а-гы́ла-ра,14408,1336.2,SRC-010
75,дара́,14265,1322.9,SRC-010
76,а́-шьҭа-заа-ра,14007,1299.0,SRC-010
77,а́-бла,13908,1289.8,SRC-010
78,а́ҧхьа,13888,1288.0,SRC-010
79,а́-ҷкәын,13810,1280.7,SRC-010
80,уа́,13558,1257.4,SRC-010
81,а́и·л·каа-ра,13391,1241.9,SRC-010
82,а́-ла-заа-ра,13090,1214.0,SRC-010
83,а-ҟны́,12788,1186.0,SRC-010
84,а-нцәа́,12769,1184.2,SRC-010
85,а-ҩ-ра́,12515,1160.6,SRC-010
86,а-ҧс-ра́,12452,1154.8,SRC-010
87,аба́с,12243,1135.4,SRC-010
88,а-бзи́а,11997,1112.6,SRC-010
89,а-ҭы́ҧ,11911,1104.6,SRC-010
90,уа́ҳа,11862,1100.1,SRC-010
91,а́-мш,11789,1093.3,SRC-010
92,уба́с,11758,1090.4,SRC-010
93,а́кә·ха-ра,11718,1086.7,SRC-010
94,а́-л·ша-ра,11329,1050.7,SRC-010
95,а-х-ра́,11109,1030.2,SRC-010
