rank,wordform,count,per_million
1,уи,4203,7424.7
2,рыԥсҭазаара,4030,7119.1
3,иит,3987,7043.1
4,иалҵит,3982,7034.3
5,лаҵарамза,3892,6875.3
6,жәабранмза,3853,6806.4
7,хәажәкырамза,3849,6799.3
8,ԥхынҷкәынмза,3832,6769.3
9,мшаԥымза,3830,6765.8
10,абҵарамза,3827,6760.5
11,нанҳәамза,3824,6755.2
12,цәыббрамза,3821,6749.9
13,жьҭаарамза,3819,6746.3
14,рашәарамза,3815,6739.3
15,ажьырныҳәамза,3804,6719.8
16,ԥхынгәымза,3800,6712.8
17,ахҭысқ,3603,6364.8
18,иара,3123,5516.8
19,тәи,2504,4423.4
20,рзы,2355,4160.2
21,шықәса,2267,4004.7
22,шықәсазы,2207,3898.7
23,на,2133,3768.0
24,аԥсны,2056,3632.0
25,перенаправление,1979,3495.9
26,ҳәа,1917,3386.4
27,аҟны,1747,3086.1
28,ала,1646,2907.7
29,ари,1628,2875.9
30,аҿы,1582,2794.6
31,убас,1579,2789.3
32,урҭ,1579,2789.3
33,аха,1440,2543.8
34,ахьӡ,1372,2423.7
35,азы,1322,2335.3
36,рыла,1272,2247.0
37,ауп,1186,2095.1
38,ду,1178,2081.0
39,зегьы,1173,2072.1
40,аԥсуа,1142,2017.4
41,атекст,1102,1946.7
42,ашықәс,1072,1893.7
43,иҟоу,981,1733.0
44,рҿы,977,1725.9
45,аҟәа,968,1710.0
46,для,938,1657.0
47,не,923,1630.5
48,амш,896,1582.8
49,по,873,1542.2
50,бызшәа,870,1536.9
51,ауаа,869,1535.1
52,ашаблон,863,1524.5
53,иҟаз,800,1413.2
54,агерб,796,1406.1
55,ирызку,778,1374.4
56,ашьҭахь,750,1324.9
57,еиԥш,746,1317.8
58,адаҟьа,739,1305.5
59,ашықәсқәа,730,1289.6
60,иҟоуп,719,1270.1
61,азгәаҭақәа,708,1250.7
62,инаркны,706,1247.2
63,аус,702,1240.1
64,змоу,672,1187.1
65,зегь,661,1167.7
66,агимн,660,1165.9
67,убри,655,1157.1
68,азхьарԥшқәа,648,1144.7
69,ақалақь,648,1144.7
70,абираҟ,624,1102.3
71,акатегориа,601,1061.7
72,қырҭтәыла,595,1051.1
73,аҳәынҭқарра,591,1044.0
74,аҳ,582,1028.1
75,язык,568,1003.4
76,аибашьра,560,989.3
77,раан,536,946.9
78,насгьы,535,945.1
79,ахҭысқәа,530,936.3
80,аҳәынҭқарратә,526,929.2
81,ауахәама,523,923.9
82,если,522,922.1
83,или,520,918.6
84,ақыҭа,517,913.3
85,шәахә,511,902.7
86,анаҩс,508,897.4
87,раԥхьатәи,503,888.6
88,ашәышықәса,500,883.3
89,аамҭазы,498,879.7
90,амодуль,496,876.2
91,рыбжьара,495,874.4
92,аурыс,492,869.1
93,урыстәыла,492,869.1
94,амаҵураҭыԥ,492,869.1
95,даара,491,867.4
96,аҟынтә,490,865.6
97,ихьӡ,489,863.8
98,ахыԥхьаӡара,488,862.1
99,ахархәара,481,849.7
100,статьи,473,835.6
101,аҭыԥ,471,832.0
102,аҭоурых,470,830.3
103,араион,470,830.3
104,года,466,823.2
105,азқьышықәса,466,823.2
106,аҩыратә,453,800.2
107,мшы,452,798.5
108,егьырҭ,450,794.9
109,ахь,450,794.9
110,актәи,434,766.7
111,жәлар,434,766.7
112,ҿыц,427,754.3
113,астил,423,747.2
114,рҟынӡа,419,740.2
115,алитература,418,738.4
116,еиҳа,418,738.4
117,из,418,738.4
118,адунеи,418,738.4
119,иалагеит,415,733.1
120,амаҵурауаҩ,414,731.3
121,диит,410,724.3
