rank,wordform,count,per_million
1,уи,94340,14365.3
2,ҳәа,58656,8931.6
3,аха,57524,8759.3
4,сара,49666,7562.7
5,иара,32453,4941.7
6,зегьы,30833,4695.0
7,ус,28341,4315.5
8,урҭ,27489,4185.8
9,уара,26974,4107.4
10,нас,25737,3919.0
11,ари,24046,3661.5
12,еиԥш,19033,2898.2
13,абри,17077,2600.3
14,ҳара,16338,2487.8
15,ауп,16178,2463.4
16,убри,14986,2281.9
17,зегь,14367,2187.7
18,иҳәеит,13489,2054.0
19,акәын,12842,1955.5
20,акы,12543,1909.9
21,уаҳа,11933,1817.1
22,игәы,11789,1795.1
23,ала,11762,1791.0
24,уа,11644,1773.0
25,ихы,11640,1772.4
26,сгәы,10908,1661.0
27,аҿы,10499,1598.7
28,иахьа,10360,1577.5
29,лара,10270,1563.8
30,абас,10262,1562.6
31,ауаа,10109,1539.3
32,уажәы,9874,1503.5
33,анцәа,9604,1462.4
34,аус,9351,1423.9
35,амҩа,9168,1396.0
36,са,9106,1386.6
37,дара,9032,1375.3
38,арахь,8969,1365.7
39,акгьы,8783,1337.4
40,ара,8617,1312.1
41,аԥсны,8424,1282.7
42,ду,8375,1275.3
43,саргьы,8345,1270.7
44,аамҭа,8140,1239.5
45,бзиа,8056,1226.7
46,зны,8040,1224.3
47,аӡәы,7725,1176.3
48,шьҭа,7643,1163.8
49,убас,7419,1129.7
50,азы,7388,1125.0
51,иҟоу,7195,1095.6
52,бара,7158,1090.0
53,ауаҩы,7078,1077.8
54,усҟан,6957,1059.4
55,ахь,6954,1058.9
56,ашьҭахь,6954,1058.9
57,аԥсуа,6905,1051.4
58,мап,6879,1047.5
59,адгьыл,6845,1042.3
60,даҽа,6823,1038.9
61,аҩны,6681,1017.3
62,акыр,6627,1009.1
63,џьара,6586,1002.9
64,арҭ,6317,961.9
65,шәара,6307,960.4
66,аӡәгьы,6240,950.2
67,амра,5940,904.5
68,ма,5901,898.6
69,ажәҩан,5802,883.5
70,адунеи,5793,882.1
71,иҟоуп,5599,852.6
72,аӡы,5597,852.3
73,ажәлар,5495,836.7
74,иҟаз,5423,825.8
75,уахь,5372,818.0
76,даара,5347,814.2
77,ибжьы,5277,803.5
78,схы,5221,795.0
79,амшын,5146,783.6
