rank,lemma,pos,freq,per_million,n_wordforms
1,ҳәа,Prt,83984,12931.0,1
2,уи,Pron,61167,9417.9,3
3,аха,Cj,47536,7319.1,2
4,Уи,Pron,39323,6054.6,2
5,зегьы,Pron,34253,5273.9,1
6,иара,Pron,32376,4984.9,1
7,сара,Pron,26992,4156.0,3
8,еиҧш,PP,24582,3784.9,2
9,иҳәеит,V,22278,3430.1,1
10,Аха,Cj,20993,3232.3,3
11,Аҧсны,Noun,20211,3111.9,2
12,урҭ,Pron,19551,3010.3,1
13,Сара,Pron,18518,2851.2,2
14,ауп,V,17802,2741.0,3
15,уара,Pron,17316,2666.1,2
16,ус,Adv,15878,2444.7,1
17,ари,Pron,15037,2315.2,4
18,нас,Adv,15028,2313.9,2
19,акәын,V,14847,2286.0,1
20,азы,PP,14109,2172.4,1
21,игәы,Noun,13447,2070.4,1
22,Нас,Adv,13196,2031.8,2
23,абри,Pron,13087,2015.0,2
24,акы,Num,12729,1959.9,3
25,Ари,Pron,12139,1869.0,3
26,ҳара,Pron,11929,1836.7,2
27,ауаа,Noun,11765,1811.5,2
28,Урҭ,Pron,11633,1791.1,1
29,Иара,Pron,11567,1781.0,1
30,Ус,Adv,11119,1712.0,1
31,аус,Noun,10809,1664.3,3
32,рзы,PP,10092,1553.9,1
33,ду,Adj,10062,1549.2,2
34,зегь,Pron,9845,1515.8,1
35,иҟоу,V,9677,1490.0,1
36,убри,Pron,9572,1473.8,2
37,лара,Pron,9541,1469.0,2
38,уаҳа,Adv,9526,1466.7,1
39,дара,Pron,9464,1457.2,2
40,иҳәан,V,9464,1457.2,2
41,Убри,Pron,9340,1438.1,2
42,Уара,Pron,9187,1414.5,1
43,ахь,PP,8819,1357.9,2
44,амҩа,Noun,8647,1331.4,1
45,убас,Adv,8507,1309.8,1
46,Абри,Pron,8306,1278.9,2
47,акгьы,Num,8276,1274.3,2
48,бзиа,Adv,8220,1265.6,2
49,уа,Adv,8190,1261.0,1
50,иҟаз,V,8133,1252.2,1
51,рҿы,PP,7962,1225.9,1
52,аӡәы,Pron,7949,1223.9,1
53,аҟны,PP,7763,1195.3,1
54,уажәы,Adv,7704,1186.2,2
55,абас,Adv,7632,1175.1,2
56,Анцәа,Noun,7202,1108.9,1
57,иахьа,Adv,6977,1074.2,2
58,арахь,Adv,6747,1038.8,1
59,ауаҩы,Noun,6645,1023.1,2
60,шықәса,Noun,6643,1022.8,1
61,акыр,Adv,6602,1016.5,4
62,сгәы,Noun,6575,1012.4,1
63,даҽа,Adj,6567,1011.1,2
64,аамҭа,Noun,6511,1002.5,2
65,џьара,Adv,6360,979.3,1
66,Аҟәа,Noun,6236,960.2,2
67,аҩны,Noun,6184,952.2,1
68,Ҳара,Pron,6165,949.2,2
69,ма,Cj,5912,910.3,1
